TARGET;;;;;;;;;;
DEALER CODE;DEALER NAME;Northstar Dealers’ Target;;;;;;;;
BA-3-ICA-01;DEALER 1;17;;;;;;;;
BA-3-EGE-01;DEALER 2;10;;;;;;;;
BA-3-AKD-01;DEALER 3;8;;;;;;;;
BA-3-AKD-02;DEALER 4;8;;;;;;;;
BA-3-MAR-01;DEALER 5;6;;;;;;;;
BA-3-EGE-02;DEALER 6;13;;;;;;;;
BA-3-MAR-02;DEALER 7;17;;;;;;;;
BA-3-MAR-03;DEALER 8;7;;;;;;;;
BA-3-ICA-02;DEALER 9;3;;;;;;;;
BA-3-ICA-03;DEALER 10;6;;;;;;;;
BA-3-AKD-03;DEALER 11;3;;;;;;;;
BA-3-MAR-04;DEALER 12;9;;;;;;;;
BA-3-MAR-05;DEALER 13;15;;;;;;;;
BA-3-ICA-04;DEALER 14;13;;;;;;;;
BA-3-AKD-04;DEALER 15;14;;;;;;;;
BA-3-MAR-06;DEALER 16;17;;;;;;;;
BA-3-MAR-07;DEALER 17;17;;;;;;;;
BA-3-MAR-08;DEALER 18;15;;;;;;;;
BA-3-GDA-01;DEALER 19;7;;;;;;;;
BA-3-KAR-01;DEALER 20;3;;;;;;;;
BA-3-EGE-03;DEALER 21;5;;;;;;;;
BA-3-EGE-04;DEALER 22;5;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
TARGET;B2C;218;;ACTUAL;B2C;93;61;105;259;119%
;B2B;90;;;B2B;44;0;0;44;49%
;TOTAL;308;;;TR;137;61;105;303;
;;;;;;;;;;
;;;;;;;;;;
BRAND-A CLOSING B2C ;;;;;;;;;;
DEALER CODE;DEALER NAME;Model A2;Model A3;Model B1;TOTAL;%;;;;
BA-3-ICA-01;DEALER 1;9;5;10;24;141%;;;;
BA-3-EGE-01;DEALER 2;4;2;4;10;100%;;;;
BA-3-AKD-01;DEALER 3;4;4;6;14;175%;;;;
BA-3-AKD-02;DEALER 4;6;3;6;15;188%;;;;
BA-3-MAR-01;DEALER 5;3;2;6;11;183%;;;;
BA-3-EGE-02;DEALER 6;4;4;6;14;108%;;;;
BA-3-MAR-02;DEALER 7;7;1;13;21;124%;;;;
BA-3-MAR-03;DEALER 8;3;1;3;7;100%;;;;
BA-3-ICA-02;DEALER 9;1;0;1;2;67%;;;;
BA-3-ICA-03;DEALER 10;6;0;0;6;100%;;;;
BA-3-AKD-03;DEALER 11;2;1;0;3;100%;;;;
BA-3-MAR-04;DEALER 12;3;4;2;9;100%;;;;
BA-3-MAR-05;DEALER 13;7;3;8;18;120%;;;;
BA-3-ICA-04;DEALER 14;3;5;5;13;100%;;;;
BA-3-AKD-04;DEALER 15;6;9;7;22;157%;;;;
BA-3-MAR-06;DEALER 16;5;4;8;17;100%;;;;
BA-3-MAR-07;DEALER 17;11;3;7;21;124%;;;;
BA-3-MAR-08;DEALER 18;3;4;8;15;100%;;;;
BA-3-GDA-01;DEALER 19;1;0;0;1;14%;;;;
BA-3-KAR-01;DEALER 20;1;2;1;4;133%;;;;
BA-3-EGE-03;DEALER 21;3;1;2;6;120%;;;;
BA-3-EGE-04;DEALER 22;1;3;2;6;120%;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
BRAND-A CLOSING B2B;;;;;;;;;;
DEALER CODE;DEALER NAME;Model A2;Model A3;Model B1;TOTAL;;;;;
BA-3-ICA-01;DEALER 1;;;;0;;;;;
BA-3-EGE-01;DEALER 2;;;;0;;;;;
BA-3-AKD-01;DEALER 3;;;;0;;;;;
BA-3-AKD-02;DEALER 4;;;;0;;;;;
BA-3-MAR-01;DEALER 5;;;;0;;;;;
BA-3-EGE-02;DEALER 6;;;;0;;;;;
BA-3-MAR-02;DEALER 7;;;;0;;;;;
BA-3-MAR-03;DEALER 8;;;;0;;;;;
BA-3-ICA-02;DEALER 9;;;;0;;;;;
BA-3-ICA-03;DEALER 10;;;;0;;;;;
BA-3-AKD-03;DEALER 11;;;;0;;;;;
BA-3-MAR-04;DEALER 12;;;;0;;;;;
BA-3-MAR-05;DEALER 13;;;;0;;;;;
BA-3-ICA-04;DEALER 14;;;;0;;;;;
BA-3-AKD-04;DEALER 15;;;;0;;;;;
BA-3-MAR-06;DEALER 16;;;;0;;;;;
BA-3-MAR-07;DEALER 17;44;;;44;;;;;
BA-3-MAR-08;DEALER 18;;;;0;;;;;
BA-3-GDA-01;DEALER 19;;;;0;;;;;
BA-3-KAR-01;DEALER 20;;;;0;;;;;
BA-3-EGE-03;DEALER 21;;;;0;;;;;
BA-3-EGE-04;DEALER 22;;;;0;;;;;
